symbol,date,score,n_headlines
JNJ,2016-01-26,-0.061745465,7
JNJ,2016-01-27,-0.10173701,4
JNJ,2016-01-28,0.10424552,9
JNJ,2016-02-01,0.2344089,2
JNJ,2016-02-04,0.03365753,1
JNJ,2016-02-05,0.04912689,1
JNJ,2016-02-08,-0.38946843,2
JNJ,2016-02-09,0.45510465,2
JNJ,2016-02-10,0.06394769,1
JNJ,2016-02-16,-0.02703894,1
JNJ,2016-02-17,-0.036757145,1
JNJ,2016-02-18,0.41094548,2
JNJ,2016-02-22,0.2955502,3
JNJ,2016-02-25,0.1470152,1
JNJ,2016-02-26,-0.009084497,1
JNJ,2016-02-29,0.013113715,2
JNJ,2016-03-02,0.06407489,2
JNJ,2016-03-03,0.80819833,1
JNJ,2016-03-07,0.005264947,1
JNJ,2016-03-08,-0.019832581,2
JNJ,2016-03-14,0.039280146,4
JNJ,2016-03-17,-0.1691043,3
JNJ,2016-03-18,0.5817428,1
JNJ,2016-03-21,0.679,2
JNJ,2016-03-23,0.89931715,1
JNJ,2016-03-31,-0.46997863,2
JNJ,2016-04-01,0.55958074,1
JNJ,2016-04-04,-0.5479067,3
JNJ,2016-04-05,-0.68761283,3
JNJ,2016-04-06,0.16655898,8
JNJ,2016-04-14,0.89931715,1
JNJ,2016-04-15,-0.20054397,1
JNJ,2016-04-18,0.1296486,3
JNJ,2016-04-19,0.18005311,7
JNJ,2016-04-20,0.58690196,5
JNJ,2016-04-22,-0.029309424,1
JNJ,2016-04-25,0.08091529,1
JNJ,2016-04-26,0.0049740225,1
JNJ,2016-04-27,-0.023827594,2
JNJ,2016-04-28,0.8392453,3
JNJ,2016-04-29,-0.027486071,1
JNJ,2016-05-02,-0.045988802,1
JNJ,2016-05-03,-0.9237747,1
JNJ,2016-05-05,-0.8338978,1
JNJ,2016-05-10,-0.18173195,2
JNJ,2016-05-11,0.40516326,2
JNJ,2016-05-12,-0.73658967,1
JNJ,2016-05-13,-0.47551513,3
JNJ,2016-05-16,0.03927123,1
JNJ,2016-05-17,0.8014853,2
JNJ,2016-05-19,-0.0028795805,2
JNJ,2016-05-20,0.032685235,3
JNJ,2016-06-01,0.6745853,1
JNJ,2016-06-02,-0.29645902,3
JNJ,2016-06-06,0.41851985,4
JNJ,2016-06-09,-0.1468127,1
JNJ,2016-06-10,0.9109278,1
JNJ,2016-06-13,0.92812485,1
JNJ,2016-06-14,0.031599358,2
JNJ,2016-06-16,-0.33125252,1
JNJ,2016-06-22,0.20482871,4
JNJ,2016-06-23,0.7880864,2
JNJ,2016-06-24,0.08811434,1
JNJ,2016-06-27,0.21691148,2
JNJ,2016-07-06,0.11799759,2
JNJ,2016-07-07,0.8674656,1
JNJ,2016-07-08,0.011430379,1
JNJ,2016-07-11,0.11243578,3
JNJ,2016-07-14,0.5383989,2
JNJ,2016-07-18,0.015452601,6
JNJ,2016-07-19,-0.039179277,10
JNJ,2016-07-20,0.28972244,6
JNJ,2016-07-21,-0.00092253834,1
JNJ,2016-07-22,-0.4677398,1
JNJ,2016-07-25,0.05083119,1
JNJ,2016-08-05,-0.19166309,2
JNJ,2016-08-08,-0.81765306,2
JNJ,2016-08-11,-0.9335009,1
JNJ,2016-08-16,0.9205117,1
JNJ,2016-08-17,0.27880234,3
JNJ,2016-08-18,0.2704475,3
JNJ,2016-08-19,-0.940069,1
JNJ,2016-08-22,0.10832446,1
JNJ,2016-08-23,0.22029695,1
JNJ,2016-08-24,0.04041379,2
JNJ,2016-08-31,-0.3586523,1
JNJ,2016-09-01,0.81992006,1
JNJ,2016-09-06,-0.43957746,2
JNJ,2016-09-08,0.15758157,2
JNJ,2016-09-09,0.80873936,1
JNJ,2016-09-12,-0.07880523,3
JNJ,2016-09-15,0.3394464,2
JNJ,2016-09-16,0.23127948,7
JNJ,2016-09-19,0.1351093,1
JNJ,2016-09-21,-0.9535887,1
JNJ,2016-09-22,0.029350124,2
JNJ,2016-09-26,0.5060535,3
JNJ,2016-09-28,0.019642187,1
JNJ,2016-10-04,-0.2660336,1
JNJ,2016-10-11,0.0063239187,2
JNJ,2016-10-17,0.1078505,3
JNJ,2016-10-18,0.2069618,9
JNJ,2016-10-19,0.48706967,2
JNJ,2016-10-24,0.024257105,1
JNJ,2016-10-28,0.28717923,2
JNJ,2016-10-31,0.033480197,1
JNJ,2016-11-04,-0.88865316,1
JNJ,2016-11-09,-0.13707256,2
JNJ,2016-11-10,0.9058231,1
JNJ,2016-11-11,0.035954434,1
JNJ,2016-11-14,0.76706946,2
JNJ,2016-11-15,0.20070076,2
JNJ,2016-11-17,0.80392045,1
JNJ,2016-11-22,-0.87326777,2
JNJ,2016-11-25,-0.0779841,4
